CID,OrderID,product_name,product_description,OrderDate,Quantity,OrderAmount,OrderStatus,ReturnStatus,ReturnStartDate,ReturnReceivedDate,ReturnCompletedDate,ReturnReason,Notes
4165,52768,JETSON NANO DEVELOPER KIT,"The power of modern AI is now available for makers, learners, and embedded developers everywhere.

NVIDIA® Jetson Nano Developer Kit is a small, powerful computer that lets you run multiple neural networks in parallel for applications like image classification, object detection, segmentation, and speech processing. All in an easy-to-use platform that runs in as little as 5 watts.

It’s simpler than ever to get started! Just insert a microSD card with the system image, boot the developer kit, and enjoy using the same NVIDIA JetPack SDK used across the NVIDIA Jetson™ family of products.

This version of Jetson Nano Developer Kit has two camera connectors.",2024-10-05T10:00:00,2,298.0,Delivered,"",,,,,
4165,4065,NVIDIA® GEFORCE RTX™ 4090,"The NVIDIA® GeForce RTX® 4090 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 24 GB of G6X memory to deliver the ultimate experience for gamers and creators.

CUDA Cores: 16384
Boost Clock: 2.52 GHz
Memory Configuration: 24GB GDDR6X

Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",2024-10-10T14:00:00,1,1599.0,Return Requested,Requested,2024-10-12T14:00:00,,,Received a faulty unit that doesn't display correctly.,
4165,69268,NVIDIA® GEFORCE RTX™ 4070,"Get equipped for stellar gaming and creating with the NVIDIA® GeForce RTX™ 4070. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 5888
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X
Model 900-1G141-2544-000",2024-10-01T09:30:00,1,599.0,Delivered,"",,,,,
4165,71110,NVIDIA® SHIELD™ REMOTE (2020),"Motion-activated, backlit buttons
Mic for voice search and control
Bluetooth connectivity
IR for TV control
Built-in lost remote locator
930-13700-2500-100",2024-10-15T16:00:00,3,164.97,Returned,Approved,,2024-10-18T16:00:00,2024-11-02T16:00:00,Item stopped functioning correctly within a week.,
4165,15620,NVIDIA® SHIELD™ TV PRO 2019,"NVIDIA® SHIELD® TV Pro is the supreme streaming media player - packed with features to make even the most demanding users proud. Beautifully designed to be the perfect centerpiece of your entertainment center. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up to SHIELD TV Pro for more storage space, two USB 3.0 ports for expandability (storage expansion, USB cameras, USB keyboards and controllers, TV tuners, and more), Plex Media Server, SmartThings hub-ready (just add a SmartThings Link), AAA Android gaming, Twitch broadcasting, and 3GB RAM.",2024-10-03T11:30:00,1,199.99,Delivered,"",,,,,
4165,15848,NVIDIA® GEFORCE™ RTX 4060TI 8GB,"Game, stream, create. The GeForce RTX™ 4060 Ti lets you take on the latest games and apps with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience immersive, AI-accelerated gaming with ray tracing and DLSS 3, and supercharge your creative process and productivity with NVIDIA Studio

CUDA Cores: 4352
Boost Clock: 2.54 GHz
Memory Configuration: 8GB GDDR6",2024-10-07T08:45:00,4,1196.0,Canceled,"",,,,,Order canceled due to payment processing issues.
4165,13955,NVIDIA® GEFORCE RTX™ 4070 SUPER,"Product Description: Get equipped for supercharged gaming and creating with the NVIDIA® GeForce RTX™ 4070 SUPER. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience super-fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 7168
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X",2024-10-16T15:00:00,2,1598.0,Return Requested,Pending Approval,2024-10-18T15:00:00,,,The performance did not meet expectations.,
4165,51115,NVIDIA SMALL INFINITY MOUSEPAD,"Dimensions: 10""x8""
Anti-slip base keeps the mousepad from sliding around
Smooth surface for maximized speed, accuracy, and control
Crafted so edges remain flat
For use on any flat, hard surface",2024-10-05T12:00:00,5,50.0,Delivered,"",,,,,
4165,67932,COMPUTER CARE KIT,"Whether you want to show off some cool laptop stickers, clean your electronics in style or cover your webcam, this is the kit for you!

This Computer Care Kit contains:

Razor Webcam Cover
Screen cleaner
5-piece sticker set (Features 2 new sheet designs and 3 NVIDIA stickers)
Size: 7"" x 9""",2024-10-09T13:00:00,6,72.0,Returned,Rejected,,2024-10-18T13:00:00,,Item was opened and used.,Return rejected as the product was not in original condition.
4165,62025,GEFORCE ABSTRACTION TEE UNISEX,"Retail fit
90% cotton/10% poly
Machine wash
Imported",2024-10-11T17:00:00,3,48.0,In Transit,"",,,,,Order has been delayed due to shipping issues.
